[2025-12-03T15:56:50.419Z] Starting NASB1995 cleanup (v3)...
[2025-12-03T15:56:50.426Z] Reading input file: C:\WindSurf\ohbc_website\scripts\NASB1995.txt
[2025-12-03T15:56:50.439Z] Starting Bible text cleanup...
[2025-12-03T15:56:50.446Z] Found book: GENESIS
[2025-12-03T15:56:50.487Z] Found chapter: 18
[2025-12-03T15:56:50.487Z] Found chapter: 19
[2025-12-03T15:56:50.488Z] Found chapter: 20
[2025-12-03T15:56:50.488Z] Found chapter: 21
[2025-12-03T15:56:50.488Z] Found chapter: 22
[2025-12-03T15:56:50.489Z] Found chapter: 23
[2025-12-03T15:56:50.489Z] Found chapter: 24
[2025-12-03T15:56:50.489Z] Found chapter: 25
[2025-12-03T15:56:50.490Z] Found chapter: 26
[2025-12-03T15:56:50.490Z] Found chapter: 27
[2025-12-03T15:56:50.490Z] Found book: End of LEVITICUS
[2025-12-03T15:56:50.491Z] Found book: NUMBERS
[2025-12-03T15:56:50.491Z] Found chapter: 1
[2025-12-03T15:56:50.491Z] Found chapter: 2
[2025-12-03T15:56:50.492Z] Found chapter: 3
[2025-12-03T15:56:50.492Z] Found chapter: 4
[2025-12-03T15:56:50.492Z] Found chapter: 5
[2025-12-03T15:56:50.493Z] Found chapter: 6
[2025-12-03T15:56:50.493Z] Found chapter: 7
[2025-12-03T15:56:50.493Z] Found chapter: 8
[2025-12-03T15:56:50.494Z] Found chapter: 9
[2025-12-03T15:56:50.494Z] Found chapter: 10
[2025-12-03T15:56:50.494Z] Found chapter: 11
[2025-12-03T15:56:50.495Z] Found chapter: 12
[2025-12-03T15:56:50.495Z] Found chapter: 13
[2025-12-03T15:56:50.495Z] Found chapter: 14
[2025-12-03T15:56:50.496Z] Found chapter: 15
[2025-12-03T15:56:50.496Z] Found chapter: 16
[2025-12-03T15:56:50.496Z] Found chapter: 17
[2025-12-03T15:56:50.497Z] Found chapter: 18
[2025-12-03T15:56:50.497Z] Found chapter: 19
[2025-12-03T15:56:50.497Z] Found chapter: 20
[2025-12-03T15:56:50.498Z] Found chapter: 21
[2025-12-03T15:56:50.498Z] Found chapter: 22
[2025-12-03T15:56:50.498Z] Found chapter: 23
[2025-12-03T15:56:50.499Z] Found chapter: 24
[2025-12-03T15:56:50.499Z] Found chapter: 25
[2025-12-03T15:56:50.500Z] Found chapter: 26
[2025-12-03T15:56:50.500Z] Found chapter: 27
[2025-12-03T15:56:50.500Z] Found chapter: 28
[2025-12-03T15:56:50.501Z] Found chapter: 29
[2025-12-03T15:56:50.501Z] Found chapter: 30
[2025-12-03T15:56:50.501Z] Found chapter: 31
[2025-12-03T15:56:50.502Z] Found chapter: 32
[2025-12-03T15:56:50.502Z] Found chapter: 33
[2025-12-03T15:56:50.502Z] Found chapter: 34
[2025-12-03T15:56:50.503Z] Found chapter: 35
[2025-12-03T15:56:50.503Z] Found chapter: 36
[2025-12-03T15:56:50.503Z] Found book: End of NUMBERS
[2025-12-03T15:56:50.504Z] Found book: DEUTERONOMY
[2025-12-03T15:56:50.504Z] Found chapter: 1
[2025-12-03T15:56:50.504Z] Found chapter: 2
[2025-12-03T15:56:50.505Z] Found chapter: 3
[2025-12-03T15:56:50.505Z] Found chapter: 4
[2025-12-03T15:56:50.505Z] Found chapter: 5
[2025-12-03T15:56:50.506Z] Found chapter: 6
[2025-12-03T15:56:50.506Z] Found chapter: 7
[2025-12-03T15:56:50.506Z] Found chapter: 8
[2025-12-03T15:56:50.507Z] Found chapter: 9
[2025-12-03T15:56:50.507Z] Found chapter: 10
[2025-12-03T15:56:50.507Z] Found chapter: 11
[2025-12-03T15:56:50.508Z] Found chapter: 12
[2025-12-03T15:56:50.509Z] Found chapter: 13
[2025-12-03T15:56:50.509Z] Found chapter: 14
[2025-12-03T15:56:50.510Z] Found chapter: 15
[2025-12-03T15:56:50.510Z] Found chapter: 16
[2025-12-03T15:56:50.510Z] Found chapter: 17
[2025-12-03T15:56:50.511Z] Found chapter: 18
[2025-12-03T15:56:50.511Z] Found chapter: 19
[2025-12-03T15:56:50.511Z] Found chapter: 20
[2025-12-03T15:56:50.511Z] Found chapter: 21
[2025-12-03T15:56:50.512Z] Found chapter: 22
[2025-12-03T15:56:50.512Z] Found chapter: 23
[2025-12-03T15:56:50.513Z] Found chapter: 24
[2025-12-03T15:56:50.513Z] Found chapter: 25
[2025-12-03T15:56:50.513Z] Found chapter: 26
[2025-12-03T15:56:50.514Z] Found chapter: 27
[2025-12-03T15:56:50.514Z] Found chapter: 28
[2025-12-03T15:56:50.514Z] Found chapter: 29
[2025-12-03T15:56:50.515Z] Found chapter: 30
[2025-12-03T15:56:50.515Z] Found chapter: 31
[2025-12-03T15:56:50.515Z] Found chapter: 32
[2025-12-03T15:56:50.516Z] Found chapter: 33
[2025-12-03T15:56:50.516Z] Found chapter: 34
[2025-12-03T15:56:50.516Z] Found book: End of DEUTERONOMY
