[2025-12-03T15:58:41.828Z] Starting NASB1995 cleanup (v4)...
[2025-12-03T15:58:41.835Z] Reading input file: C:\WindSurf\ohbc_website\scripts\NASB1995.txt
[2025-12-03T15:58:41.853Z] Starting Bible text cleanup...
[2025-12-03T15:58:41.860Z] Found book: GENESIS
[2025-12-03T15:58:41.902Z] Found chapter: 18
[2025-12-03T15:58:41.903Z] Found chapter: 19
[2025-12-03T15:58:41.903Z] Found chapter: 20
[2025-12-03T15:58:41.904Z] Found chapter: 21
[2025-12-03T15:58:41.904Z] Found chapter: 22
[2025-12-03T15:58:41.904Z] Found chapter: 23
[2025-12-03T15:58:41.905Z] Found chapter: 24
[2025-12-03T15:58:41.905Z] Found chapter: 25
[2025-12-03T15:58:41.905Z] Found chapter: 26
[2025-12-03T15:58:41.906Z] Found chapter: 27
[2025-12-03T15:58:41.906Z] Found book: End of LEVITICUS
[2025-12-03T15:58:41.906Z] Found book: NUMBERS
[2025-12-03T15:58:41.906Z] Found chapter: 1
[2025-12-03T15:58:41.907Z] Found chapter: 2
[2025-12-03T15:58:41.907Z] Found chapter: 3
[2025-12-03T15:58:41.907Z] Found chapter: 4
[2025-12-03T15:58:41.908Z] Found chapter: 5
[2025-12-03T15:58:41.908Z] Found chapter: 6
[2025-12-03T15:58:41.908Z] Found chapter: 7
[2025-12-03T15:58:41.909Z] Found chapter: 8
[2025-12-03T15:58:41.909Z] Found chapter: 9
[2025-12-03T15:58:41.909Z] Found chapter: 10
[2025-12-03T15:58:41.910Z] Found chapter: 11
[2025-12-03T15:58:41.910Z] Found chapter: 12
[2025-12-03T15:58:41.910Z] Found chapter: 13
[2025-12-03T15:58:41.911Z] Found chapter: 14
[2025-12-03T15:58:41.911Z] Found chapter: 15
[2025-12-03T15:58:41.911Z] Found chapter: 16
[2025-12-03T15:58:41.912Z] Found chapter: 17
[2025-12-03T15:58:41.912Z] Found chapter: 18
[2025-12-03T15:58:41.913Z] Found chapter: 19
[2025-12-03T15:58:41.913Z] Found chapter: 20
[2025-12-03T15:58:41.913Z] Found chapter: 21
[2025-12-03T15:58:41.914Z] Found chapter: 22
[2025-12-03T15:58:41.914Z] Found chapter: 23
[2025-12-03T15:58:41.914Z] Found chapter: 24
[2025-12-03T15:58:41.915Z] Found chapter: 25
[2025-12-03T15:58:41.915Z] Found chapter: 26
[2025-12-03T15:58:41.915Z] Found chapter: 27
[2025-12-03T15:58:41.916Z] Found chapter: 28
[2025-12-03T15:58:41.916Z] Found chapter: 29
[2025-12-03T15:58:41.916Z] Found chapter: 30
[2025-12-03T15:58:41.917Z] Found chapter: 31
[2025-12-03T15:58:41.917Z] Found chapter: 32
[2025-12-03T15:58:41.917Z] Found chapter: 33
[2025-12-03T15:58:41.917Z] Found chapter: 34
[2025-12-03T15:58:41.918Z] Found chapter: 35
[2025-12-03T15:58:41.918Z] Found chapter: 36
[2025-12-03T15:58:41.918Z] Found book: End of NUMBERS
[2025-12-03T15:58:41.919Z] Found book: DEUTERONOMY
[2025-12-03T15:58:41.919Z] Found chapter: 1
[2025-12-03T15:58:41.919Z] Found chapter: 2
[2025-12-03T15:58:41.920Z] Found chapter: 3
[2025-12-03T15:58:41.920Z] Found chapter: 4
[2025-12-03T15:58:41.920Z] Found chapter: 5
[2025-12-03T15:58:41.921Z] Found chapter: 6
[2025-12-03T15:58:41.921Z] Found chapter: 7
[2025-12-03T15:58:41.921Z] Found chapter: 8
[2025-12-03T15:58:41.922Z] Found chapter: 9
[2025-12-03T15:58:41.922Z] Found chapter: 10
[2025-12-03T15:58:41.923Z] Found chapter: 11
[2025-12-03T15:58:41.923Z] Found chapter: 12
[2025-12-03T15:58:41.923Z] Found chapter: 13
[2025-12-03T15:58:41.924Z] Found chapter: 14
[2025-12-03T15:58:41.924Z] Found chapter: 15
[2025-12-03T15:58:41.925Z] Found chapter: 16
[2025-12-03T15:58:41.925Z] Found chapter: 17
[2025-12-03T15:58:41.925Z] Found chapter: 18
[2025-12-03T15:58:41.926Z] Found chapter: 19
[2025-12-03T15:58:41.926Z] Found chapter: 20
[2025-12-03T15:58:41.926Z] Found chapter: 21
[2025-12-03T15:58:41.926Z] Found chapter: 22
[2025-12-03T15:58:41.927Z] Found chapter: 23
[2025-12-03T15:58:41.927Z] Found chapter: 24
[2025-12-03T15:58:41.927Z] Found chapter: 25
[2025-12-03T15:58:41.928Z] Found chapter: 26
[2025-12-03T15:58:41.928Z] Found chapter: 27
[2025-12-03T15:58:41.929Z] Found chapter: 28
[2025-12-03T15:58:41.929Z] Found chapter: 29
[2025-12-03T15:58:41.929Z] Found chapter: 30
[2025-12-03T15:58:41.930Z] Found chapter: 31
[2025-12-03T15:58:41.930Z] Found chapter: 32
[2025-12-03T15:58:41.930Z] Found chapter: 33
[2025-12-03T15:58:41.931Z] Found chapter: 34
[2025-12-03T15:58:41.931Z] Found book: End of DEUTERONOMY
[2025-12-03T15:58:41.932Z] Found book: JOSHUA
[2025-12-03T15:58:41.932Z] Found chapter: 1
[2025-12-03T15:58:41.932Z] Found chapter: 2
[2025-12-03T15:58:41.932Z] Found chapter: 3
[2025-12-03T15:58:41.933Z] Found chapter: 4
[2025-12-03T15:58:41.933Z] Found chapter: 5
[2025-12-03T15:58:41.933Z] Found chapter: 6
[2025-12-03T15:58:41.934Z] Found chapter: 7
[2025-12-03T15:58:41.934Z] Found chapter: 8
[2025-12-03T15:58:41.934Z] Found chapter: 9
[2025-12-03T15:58:41.935Z] Found chapter: 10
[2025-12-03T15:58:41.935Z] Found chapter: 11
[2025-12-03T15:58:41.935Z] Found chapter: 12
[2025-12-03T15:58:41.936Z] Found chapter: 13
[2025-12-03T15:58:41.936Z] Found chapter: 14
[2025-12-03T15:58:41.936Z] Found chapter: 15
[2025-12-03T15:58:41.937Z] Found chapter: 16
[2025-12-03T15:58:41.937Z] Found chapter: 17
