[2025-12-03T16:43:24.026Z] Found book: EZEKIEL
[2025-12-03T16:43:24.026Z] Found book: EZEKIEL
[2025-12-03T16:43:24.027Z] Found book: EZEKIEL
[2025-12-03T16:43:24.033Z] Found book: DANIEL
[2025-12-03T16:43:24.033Z] Found book: DANIEL
[2025-12-03T16:43:24.034Z] Found book: DANIEL
[2025-12-03T16:43:24.034Z] Found book: DANIEL
[2025-12-03T16:43:24.034Z] Found book: DANIEL
[2025-12-03T16:43:24.035Z] Found book: DANIEL
[2025-12-03T16:43:24.035Z] Found book: DANIEL
[2025-12-03T16:43:24.035Z] Found book: DANIEL
[2025-12-03T16:43:24.036Z] Found book: DANIEL
[2025-12-03T16:43:24.036Z] Found book: DANIEL
[2025-12-03T16:43:24.036Z] Found book: DANIEL
[2025-12-03T16:43:24.037Z] Found book: HOSEA
[2025-12-03T16:43:24.037Z] Found book: HOSEA
[2025-12-03T16:43:24.038Z] Found book: HOSEA
[2025-12-03T16:43:24.040Z] Found book: JOEL
[2025-12-03T16:43:24.041Z] Processed 25000 lines...
[2025-12-03T16:43:24.041Z] Found book: AMOS
[2025-12-03T16:43:24.043Z] Found book: AMOS
[2025-12-03T16:43:24.044Z] Found book: OBADIAH
[2025-12-03T16:43:24.045Z] Found book: JONAH
[2025-12-03T16:43:24.045Z] Found book: JONAH
[2025-12-03T16:43:24.045Z] Found book: JONAH
[2025-12-03T16:43:24.046Z] Found book: JONAH
[2025-12-03T16:43:24.046Z] Found book: MICAH
[2025-12-03T16:43:24.048Z] Processed 26000 lines...
[2025-12-03T16:43:24.048Z] Found book: NAHUM
[2025-12-03T16:43:24.049Z] Found book: HABAKKUK
[2025-12-03T16:43:24.050Z] Found book: ZEPHANIAH
[2025-12-03T16:43:24.051Z] Found book: HAGGAI
[2025-12-03T16:43:24.051Z] Found book: HAGGAI
[2025-12-03T16:43:24.051Z] Found book: ZECHARIAH
[2025-12-03T16:43:24.052Z] Found book: JOSHUA
[2025-12-03T16:43:24.053Z] Found book: MALACHI
[2025-12-03T16:43:24.053Z] Found book: MATTHEW
[2025-12-03T16:43:24.055Z] Found book: MATTHEW
[2025-12-03T16:43:24.055Z] Found book: JOHN
[2025-12-03T16:43:24.056Z] Found book: JOHN
[2025-12-03T16:43:24.058Z] Found book: MARK
[2025-12-03T16:43:24.059Z] Found book: JOHN
[2025-12-03T16:43:24.060Z] Found book: LUKE
[2025-12-03T16:43:24.061Z] Found book: JOHN
[2025-12-03T16:43:24.061Z] Found book: JOHN
[2025-12-03T16:43:24.063Z] Processed 28000 lines...
[2025-12-03T16:43:24.066Z] Found book: JOHN
[2025-12-03T16:43:24.066Z] Found book: JOHN
[2025-12-03T16:43:24.070Z] Found book: ACTS
[2025-12-03T16:43:24.073Z] Found book: JAMES
[2025-12-03T16:43:24.075Z] Found book: ROMANS
[2025-12-03T16:43:24.076Z] Found book: 1 CORINTHIANS
[2025-12-03T16:43:24.078Z] Found book: 2 CORINTHIANS
[2025-12-03T16:43:24.078Z] Found book: GALATIANS
[2025-12-03T16:43:24.079Z] Found book: EPHESIANS
[2025-12-03T16:43:24.080Z] Found book: PHILIPPIANS
[2025-12-03T16:43:24.080Z] Found book: COLOSSIANS
[2025-12-03T16:43:24.081Z] Found book: 1 THESSALONIANS
[2025-12-03T16:43:24.081Z] Found book: 2 THESSALONIANS
[2025-12-03T16:43:24.081Z] Found book: 1 TIMOTHY
[2025-12-03T16:43:24.082Z] Found book: 2 TIMOTHY
[2025-12-03T16:43:24.082Z] Found book: TITUS
[2025-12-03T16:43:24.083Z] Found book: PHILEMON
[2025-12-03T16:43:24.083Z] Found book: PHILEMON
[2025-12-03T16:43:24.083Z] Found book: HEBREWS
[2025-12-03T16:43:24.084Z] Found book: JAMES
[2025-12-03T16:43:24.085Z] Found book: 1 PETER
[2025-12-03T16:43:24.085Z] Found book: 2 PETER
[2025-12-03T16:43:24.086Z] Found book: 1 JOHN
[2025-12-03T16:43:24.086Z] Found book: 2 JOHN
[2025-12-03T16:43:24.087Z] Found book: 3 JOHN
[2025-12-03T16:43:24.087Z] Found book: JUDE
[2025-12-03T16:43:24.087Z] Found book: REVELATION
[2025-12-03T16:43:24.087Z] Processed 30000 lines...
[2025-12-03T16:43:24.090Z] 
=== CLEANING SUMMARY ===
[2025-12-03T16:43:24.090Z] Total lines processed: 30223
[2025-12-03T16:43:24.090Z] Books found: 168
[2025-12-03T16:43:24.090Z] Chapters found: 14037
[2025-12-03T16:43:24.090Z] Verses found: 0
[2025-12-03T16:43:24.090Z] 
Book starts:
{
  "GENESIS": 1,
  "EXODUS": 2,
  "LEVITICUS": 1,
  "NUMBERS": 1,
  "JOSHUA": 10,
  "DEUTERONOMY": 1,
  "JUDGES": 1,
  "MICAH": 2,
  "RUTH": 3,
  "1 SAMUEL": 1,
  "2 SAMUEL": 1,
  "1 KINGS": 1,
  "OBADIAH": 2,
  "2 KINGS": 1,
  "ZECHARIAH": 3,
  "ISAIAH": 4,
  "1 CHRONICLES": 1,
  "2 CHRONICLES": 1,
  "EZRA": 3,
  "NEHEMIAH": 5,
  "ESTHER": 7,
  "JOB": 29,
  "PSALMS": 2,
  "ECCLESIASTES": 1,
  "SONG OF SOLOMON": 1,
  "JEREMIAH": 16,
  "LAMENTATIONS": 1,
  "EZEKIEL": 3,
  "DANIEL": 11,
  "HOSEA": 3,
  "JOEL": 1,
  "AMOS": 2,
  "JONAH": 4,
  "NAHUM": 1,
  "HABAKKUK": 1,
  "ZEPHANIAH": 1,
  "HAGGAI": 2,
  "MALACHI": 1,
  "MATTHEW": 2,
  "JOHN": 7,
  "MARK": 1,
  "LUKE": 1,
  "ACTS": 1,
  "JAMES": 2,
  "ROMANS": 1,
  "1 CORINTHIANS": 1,
